Model,Best_Params,CV_Score,Accuracy,F1_Score,AUC_ROC
RandomForest_Balanced,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6315122500704028,0.5527777777777778,0.5467903168652903,0.5690102944397509
RandomForest_Weighted,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6232810006570919,0.4444444444444444,0.2766670489442767,0.5583716636941081
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5978010888951469,0.5638888888888889,0.5508634661218931,0.5617197033699428
